"faellig";"rueckstandBis";"offenerBetrag";"zahldatum";"art";"belegart_pos";"mahnbelegart";"betrag_pos";"betrag";"belegart";"mahnstufe";"bezugszeitraum_pos";"faelligkeit_monat";"Haben";"offenerBetrag_pos";"bezugszeitraum";"rueckstandVon";
"02.08.2012";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"08.2012";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"04.09.2012";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"09.2012";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"04.09.2012";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"09.2012";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.10.2012";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"10.2012";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.10.2012";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"10.2012";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"05.11.2012";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"11.2012";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"05.11.2012";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"11.2012";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"04.12.2012";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"12.2012";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"04.12.2012";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"12.2012";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"03.01.2013";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"01.2013";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"03.01.2013";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"01.2013";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"04.02.2013";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"02.2013";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"04.02.2013";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"02.2013";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"04.03.2013";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"03.2013";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"04.03.2013";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"03.2013";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"03.04.2013";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"04.2013";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"03.04.2013";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"04.2013";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"03.05.2013";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"05.2013";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"03.05.2013";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"05.2013";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"04.06.2013";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"06.2013";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"04.06.2013";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"06.2013";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.07.2013";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"07.2013";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.07.2013";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"07.2013";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.08.2013";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"08.2013";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.08.2013";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"08.2013";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"03.09.2013";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"09.2013";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"03.09.2013";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"09.2013";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.10.2013";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"10.2013";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.10.2013";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"10.2013";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"05.11.2013";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"11.2013";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"05.11.2013";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"11.2013";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"03.12.2013";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"12.2013";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"03.12.2013";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"12.2013";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"03.01.2014";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"01.2014";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"03.01.2014";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"01.2014";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"04.02.2014";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"02.2014";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"04.02.2014";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"02.2014";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"04.03.2014";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"03.2014";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"04.03.2014";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"03.2014";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.04.2014";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"04.2014";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.04.2014";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"04.2014";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"05.05.2014";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"05.2014";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"05.05.2014";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"05.2014";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"03.06.2014";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"06.2014";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"03.06.2014";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"06.2014";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.07.2014";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"07.2014";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.07.2014";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"07.2014";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"04.08.2014";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"08.2014";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"04.08.2014";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"08.2014";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.09.2014";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"09.2014";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.09.2014";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"09.2014";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.10.2014";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"10.2014";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.10.2014";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"10.2014";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"04.11.2014";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"11.2014";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"04.11.2014";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"11.2014";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.12.2014";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"12.2014";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.12.2014";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"12.2014";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"05.01.2015";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"01.2015";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"05.01.2015";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"01.2015";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"03.02.2015";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"02.2015";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"03.02.2015";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"02.2015";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"03.03.2015";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"03.2015";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"03.03.2015";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"03.2015";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.04.2015";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"04.2015";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.04.2015";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"04.2015";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"05.05.2015";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"05.2015";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"05.05.2015";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"05.2015";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.06.2015";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"06.2015";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.06.2015";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"06.2015";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.07.2015";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"07.2015";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.07.2015";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"07.2015";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"04.08.2015";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"08.2015";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"04.08.2015";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"08.2015";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.09.2015";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"09.2015";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.09.2015";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"09.2015";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.10.2015";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"10.2015";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.10.2015";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"10.2015";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"03.11.2015";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"11.2015";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"03.11.2015";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"11.2015";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.12.2015";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"12.2015";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.12.2015";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"12.2015";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"05.01.2016";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"01.2016";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
